City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
308,Esfarayen,37.0765,57.5101,37.09,54,100,1.54,IR,overcast clouds
309,San Juan,-31.5375,-68.5364,80.73,38,5,8.75,AR,clear sky
310,Pombas,17.1503,-25.0201,67.78,83,13,9.89,CV,few clouds
311,Hanna,51.6334,-111.9018,-5.15,75,100,5.01,CA,overcast clouds
312,Hofn,64.2539,-15.2082,29.48,57,100,22.37,IS,overcast clouds
313,Kahului,20.8947,-156.47,83.46,73,11,11.99,US,few clouds
314,Nalut,30.3333,10.85,43.99,73,0,8.34,LY,clear sky
315,Carnarvon,-24.8667,113.6333,92.66,35,13,8.01,AU,few clouds
316,Umea,63.8284,20.2597,12.9,92,100,10.36,SE,snow
317,Teahupoo,-17.8333,-149.2667,82.36,76,45,16.08,PF,scattered clouds
318,Nizwa,22.9333,57.5333,60.1,58,0,1.28,OM,clear sky
319,Margate,51.3813,1.3862,48.96,83,100,20.92,GB,overcast clouds
320,Tucuma,-0.1833,-50.05,75.65,94,100,7.16,BR,overcast clouds
321,Makakilo City,21.3469,-158.0858,80.35,45,0,14.97,US,clear sky
322,Lar,26.2039,83.9717,57.38,84,6,17.16,IN,clear sky
323,Namatanai,-3.6667,152.4333,84.51,68,90,10.83,PG,overcast clouds
324,Axim,4.8699,-2.2405,78.06,85,0,5.55,GH,light rain
325,Kloulklubed,7.0419,134.2556,84.7,76,30,22.15,PW,scattered clouds
326,Sulangan,11.1373,123.7228,79.36,80,93,17.18,PH,overcast clouds
327,Van Buren,35.4368,-94.3483,23.86,84,100,1.01,US,overcast clouds
328,Santa Cruz,-17.8,-63.1667,75.85,79,3,9.86,BO,clear sky
329,Tuktoyaktuk,69.4541,-133.0374,-22.81,100,100,9.04,CA,overcast clouds
330,Santa Vitoria,-18.8386,-50.1214,73.42,89,100,3.29,BR,overcast clouds
331,Talakan,50.3167,130.3667,-8.41,89,89,2.71,RU,overcast clouds
332,Souillac,-20.5167,57.5167,80.37,88,100,17.98,MU,overcast clouds
333,Shache,38.4167,77.2406,23.61,48,99,3.47,CN,overcast clouds
334,Saint-Francois,46.4154,3.9054,41.41,87,100,3.44,FR,overcast clouds
335,Riyadh,24.6877,46.7219,60.94,37,12,5.59,SA,few clouds
336,Labuhan,-6.8844,112.2051,81.81,76,80,5.46,ID,broken clouds
337,Alice Springs,-23.7,133.8833,74.75,35,97,17.27,AU,overcast clouds
338,Dingle,10.9995,122.6711,81.09,77,75,16.82,PH,broken clouds
339,Gorontalo,0.5412,123.0595,82.49,75,100,4.92,ID,overcast clouds
340,Dondo,-19.6094,34.7431,72.52,94,41,4.61,MZ,scattered clouds
341,Polunochnoye,60.8697,60.4153,0.7,99,97,3.18,RU,overcast clouds
342,Ternate,0.8,127.4,83.28,70,100,3.56,ID,overcast clouds
343,The Valley,18.217,-63.0578,75.81,74,5,15.37,AI,clear sky
344,Jagdalpur,19.0667,82.0333,63.14,83,6,6.29,IN,clear sky
